  code      ,rgb             ,hex    ,name
  P 7-3 C   ,"rgb(248,230,182)",#F8E6B6,    
  P 7-4 C   ,"rgb(247,226,163)",#F7E2A3,    
  P 7-5 C   ,"rgb(247,219,143)",#F7DB8F,    
  P 7-6 C   ,"rgb(246,213,122)",#F6D57A,    
  P 7-7 C   ,"rgb(245,205,84) ",#F5CD54,    
  P 7-8 C   ,"rgb(244,197,34) ",#F4C522,    
  P 7-9 C   ,"rgb(244,235,212)",#F4EBD4,    
  P 7-10 C  ,"rgb(241,229,192)",#F1E5C0,    
  P 7-11 C  ,"rgb(239,222,173)",#EFDEAD,    
  P 7-12 C  ,"rgb(234,213,150)",#EAD596,    
  P 7-13 C  ,"rgb(231,206,134)",#E7CE86,    
  P 7-14 C  ,"rgb(226,197,109)",#E2C56D,    
  P 7-15 C  ,"rgb(221,187,76) ",#DDBB4C,    
  P 7-16 C  ,"rgb(214,175,35) ",#D6AF23,    
  P 8-1 C   ,"rgb(238,226,194)",#EEE2C2,    
  P 8-2 C   ,"rgb(233,218,172)",#E9DAAC,    
  P 8-3 C   ,"rgb(229,211,153)",#E5D399,    
  P 8-4 C   ,"rgb(224,201,127)",#E0C97F,    
  P 8-5 C   ,"rgb(216,191,107)",#D8BF6B,    
  P 8-6 C   ,"rgb(212,184,87) ",#D4B857,    
  P 8-7 C   ,"rgb(203,172,50) ",#CBAC32,    
  P 8-8 C   ,"rgb(195,162,9)  ",#C3A209,    
  P 8-9 C   ,"rgb(237,229,210)",#EDE5D2,    
  P 8-10 C  ,"rgb(232,220,186)",#E8DCBA,    
  P 8-11 C  ,"rgb(224,209,161)",#E0D1A1,    
  P 8-12 C  ,"rgb(215,196,135)",#D7C487,    
  P 8-13 C  ,"rgb(206,184,110)",#CEB86E,    
  P 8-14 C  ,"rgb(196,171,86) ",#C4AB56,    
  P 8-15 C  ,"rgb(188,161,54) ",#BCA136,    
  P 8-16 C  ,"rgb(177,147,25) ",#B19319,    
  P 9-1 C   ,"rgb(230,218,191)",#E6DABF,    
  P 9-2 C   ,"rgb(219,204,162)",#DBCCA2,    
  P 9-3 C   ,"rgb(212,194,137)",#D4C289,    
  P 9-4 C   ,"rgb(202,181,116)",#CAB574,    
  P 9-5 C   ,"rgb(191,167,95) ",#BFA75F,    
  P 9-6 C   ,"rgb(178,152,68) ",#B29844,    
  P 9-7 C   ,"rgb(163,137,42) ",#A3892A,    
  P 9-8 C   ,"rgb(151,123,18) ",#977B12,    
  P 9-9 C   ,"rgb(221,209,178)",#DDD1B2,    
  P 9-10 C  ,"rgb(210,195,150)",#D2C396,    
  P 9-11 C  ,"rgb(200,183,128)",#C8B780,    
  P 9-12 C  ,"rgb(189,169,107)",#BDA96B,    
  P 9-13 C  ,"rgb(177,154,85) ",#B19A55,    
