  code             ,rgb             ,hex    ,name
  204 XGC          ,"rgb(226,128,166)",#E280A6,    
  205 XGC          ,"rgb(221,74,125) ",#DD4A7D,    
  206 XGC          ,"rgb(204,0,69)   ",#CC0045,    
  207 XGC          ,"rgb(165,14,62)  ",#A50E3E,    
  208 XGC          ,"rgb(136,20,67)  ",#881443,    
  209 XGC          ,"rgb(112,37,63)  ",#70253F,    
  210 XGC          ,"rgb(229,165,192)",#E5A5C0,    
  211 XGC          ,"rgb(225,129,171)",#E181AB,    
  212 XGC          ,"rgb(221,92,146) ",#DD5C92,    
  213 XGC          ,"rgb(218,42,116) ",#DA2A74,    
  214 XGC          ,"rgb(209,8,105)  ",#D10869,    
  215 XGC          ,"rgb(178,19,93)  ",#B2135D,    
  216 XGC          ,"rgb(130,22,70)  ",#821646,    
  217 XGC          ,"rgb(227,191,211)",#E3BFD3,    
  218 XGC          ,"rgb(216,116,164)",#D874A4,    
  219 XGC          ,"rgb(216,0,118)  ",#D80076,    
  220 XGC          ,"rgb(167,9,84)   ",#A70954,    
  221 XGC          ,"rgb(150,15,78)  ",#960F4E,    
  222 XGC          ,"rgb(116,18,71)  ",#741247,    
  223 XGC          ,"rgb(223,157,192)",#DF9DC0,    
  224 XGC          ,"rgb(215,118,169)",#D776A9,    
  225 XGC          ,"rgb(207,58,137) ",#CF3A89,    
  226 XGC          ,"rgb(212,0,115)  ",#D40073,    
  227 XGC          ,"rgb(168,2,98)   ",#A80262,    
  228 XGC          ,"rgb(136,9,86)   ",#880956,    
  229 XGC          ,"rgb(100,28,67)  ",#641C43,    
  230 XGC          ,"rgb(227,175,201)",#E3AFC9,    
  231 XGC          ,"rgb(217,131,176)",#D983B0,    
  232 XGC          ,"rgb(208,88,150) ",#D05896,    
  233 XGC          ,"rgb(191,0,120)  ",#BF0078,    
  234 XGC          ,"rgb(162,9,106)  ",#A2096A,    
  235 XGC          ,"rgb(133,18,88)  ",#851258,    
  236 XGC          ,"rgb(216,162,196)",#D8A2C4,    
  237 XGC          ,"rgb(211,143,184)",#D38FB8,    
  238 XGC          ,"rgb(202,106,161)",#CA6AA1,    
  239 XGC          ,"rgb(197,87,149) ",#C55795,    
  240 XGC          ,"rgb(183,63,137) ",#B73F89,    
  241 XGC          ,"rgb(169,39,126) ",#A9277E,    
  242 XGC          ,"rgb(135,28,98)  ",#871C62,    
  243 XGC          ,"rgb(220,184,210)",#DCB8D2,    
  244 XGC          ,"rgb(205,156,196)",#CD9CC4,    
  245 XGC          ,"rgb(197,135,183)",#C587B7,    
  246 XGC          ,"rgb(174,70,144) ",#AE4690,    
  247 XGC          ,"rgb(164,53,135) ",#A43587,    
  248 XGC          ,"rgb(152,36,129) ",#982481,    
  249 XGC          ,"rgb(129,37,112) ",#812570,    
  250 XGC          ,"rgb(218,185,210)",#DAB9D2,    
  251 XGC          ,"rgb(205,163,199)",#CDA3C7,    
  252 XGC          ,"rgb(182,123,176)",#B67BB0,    
  253 XGC          ,"rgb(156,68,144) ",#9C4490,    
  254 XGC          ,"rgb(148,58,139) ",#943A8B,    
  255 XGC          ,"rgb(120,43,112) ",#782B70,    
  256 XGC          ,"rgb(208,188,216)",#D0BCD8,    
  257 XGC          ,"rgb(195,162,202)",#C3A2CA,    
  258 XGC          ,"rgb(146,79,157) ",#924F9D,    
  259 XGC          ,"rgb(112,37,120) ",#702578,    
  260 XGC          ,"rgb(103,42,104) ",#672A68,    
  261 XGC          ,"rgb(93,43,94)   ",#5D2B5E,    
  262 XGC          ,"rgb(83,45,79)   ",#532D4F,    
  263 XGC          ,"rgb(212,199,222)",#D4C7DE,    
  264 XGC          ,"rgb(192,176,213)",#C0B0D5,    
  265 XGC          ,"rgb(149,113,189)",#9571BD,    
