  code          ,rgb             ,hex    ,name
  9442 U        ,"rgb(164,211,229)",#A4D3E5,    
  9443 U        ,"rgb(166,203,219)",#A6CBDB,    
  9460 U        ,"rgb(194,234,243)",#C2EAF3,    
  9461 U        ,"rgb(166,221,234)",#A6DDEA,    
  9462 U        ,"rgb(162,212,223)",#A2D4DF,    
  9463 U        ,"rgb(173,211,218)",#ADD3DA,    
  9464 U        ,"rgb(143,220,241)",#8FDCF1,    
  9480 U        ,"rgb(189,237,239)",#BDEDEF,    
  9481 U        ,"rgb(182,234,236)",#B6EAEC,    
  9482 U        ,"rgb(172,224,227)",#ACE0E3,    
  9483 U        ,"rgb(179,211,210)",#B3D3D2,    
  9500 U        ,"rgb(176,235,233)",#B0EBE9,    
  9501 U        ,"rgb(169,222,219)",#A9DEDB,    
  9502 U        ,"rgb(180,218,214)",#B4DAD6,    
  9503 U        ,"rgb(181,210,206)",#B5D2CE,    
  9504 U        ,"rgb(180,209,207)",#B4D1CF,    
  9520 U        ,"rgb(197,242,230)",#C5F2E6,    
  9521 U        ,"rgb(204,235,224)",#CCEBE0,    
  9522 U        ,"rgb(196,225,215)",#C4E1D7,    
  9523 U        ,"rgb(200,220,211)",#C8DCD3,    
  9524 U        ,"rgb(164,237,221)",#A4EDDD,    
  9525 U        ,"rgb(229,246,227)",#E5F6E3,    
  9540 U        ,"rgb(213,244,225)",#D5F4E1,    
  9541 U        ,"rgb(210,237,220)",#D2EDDC,    
  9542 U        ,"rgb(196,213,198)",#C4D5C6,    
  9543 U        ,"rgb(185,205,190)",#B9CDBE,    
  9544 U        ,"rgb(236,246,225)",#ECF6E1,    
  9560 U        ,"rgb(224,246,222)",#E0F6DE,    
  9561 U        ,"rgb(213,235,209)",#D5EBD1,    
  9562 U        ,"rgb(208,224,201)",#D0E0C9,    
  9563 U        ,"rgb(200,212,193)",#C8D4C1,    
  9580 U        ,"rgb(232,245,209)",#E8F5D1,    
  9581 U        ,"rgb(222,233,202)",#DEE9CA,    
  9582 U        ,"rgb(212,216,194)",#D4D8C2,    
  9583 U        ,"rgb(205,210,187)",#CDD2BB,    
  9584 U        ,"rgb(220,226,201)",#DCE2C9,    
  9585 U        ,"rgb(211,216,193)",#D3D8C1,    
  9600 U        ,"rgb(237,242,199)",#EDF2C7,    
  9601 U        ,"rgb(233,235,202)",#E9EBCA,    
  9602 U        ,"rgb(218,219,186)",#DADBBA,    
  9603 U        ,"rgb(208,208,182)",#D0D0B6,    
  Black 0961 U  ,"rgb(157,153,148)",#9D9994,    
  Blue 0821 U   ,"rgb(108,209,239)",#6CD1EF,    
  Green 0921 U  ,"rgb(120,230,208)",#78E6D0,    
  Magenta 0521 U,"rgb(248,170,221)",#F8AADD,    
  Red 0331 U    ,"rgb(255,177,190)",#FFB1BE,    
  Violet 0631 U ,"rgb(186,147,223)",#BA93DF,    
  Yellow 0131 U ,"rgb(251,245,155)",#FBF59B,    
