  code             ,rgb             ,hex    ,name
  212 U            ,"rgb(245,109,158)",#F56D9E,    
  213 U            ,"rgb(233,84,133) ",#E95485,    
  214 U            ,"rgb(209,81,122) ",#D1517A,    
  215 U            ,"rgb(174,81,113) ",#AE5171,    
  216 U            ,"rgb(138,85,102) ",#8A5566,    
  217 U            ,"rgb(244,193,225)",#F4C1E1,    
  218 U            ,"rgb(239,132,185)",#EF84B9,    
  219 U            ,"rgb(228,92,150) ",#E45C96,    
  220 U            ,"rgb(176,76,117) ",#B04C75,    
  221 U            ,"rgb(158,76,110) ",#9E4C6E,    
  222 U            ,"rgb(130,86,107) ",#82566B,    
  223 U            ,"rgb(249,164,216)",#F9A4D8,    
  224 U            ,"rgb(245,135,199)",#F587C7,    
  225 U            ,"rgb(234,96,167) ",#EA60A7,    
  226 U            ,"rgb(220,69,136) ",#DC4588,    
  227 U            ,"rgb(175,72,121) ",#AF4879,    
  228 U            ,"rgb(141,77,109) ",#8D4D6D,    
  229 U            ,"rgb(122,84,102) ",#7A5466,    
  230 U            ,"rgb(254,178,224)",#FEB2E0,    
  231 U            ,"rgb(249,132,202)",#F984CA,    
  232 U            ,"rgb(241,106,183)",#F16AB7,    
  233 U            ,"rgb(200,70,135) ",#C84687,    
  234 U            ,"rgb(170,76,125) ",#AA4C7D,    
  235 U            ,"rgb(145,78,114) ",#914E72,    
  236 U            ,"rgb(248,166,222)",#F8A6DE,    
  237 U            ,"rgb(242,141,210)",#F28DD2,    
  238 U            ,"rgb(233,113,192)",#E971C0,    
  239 U            ,"rgb(219,85,170) ",#DB55AA,    
  240 U            ,"rgb(193,85,152) ",#C15598,    
  241 U            ,"rgb(175,84,139) ",#AF548B,    
  242 U            ,"rgb(141,89,119) ",#8D5977,    
  243 U            ,"rgb(241,178,230)",#F1B2E6,    
  244 U            ,"rgb(235,154,222)",#EB9ADE,    
  245 U            ,"rgb(224,127,208)",#E07FD0,    
  246 U            ,"rgb(206,87,179) ",#CE57B3,    
  247 U            ,"rgb(189,81,162) ",#BD51A2,    
  248 U            ,"rgb(161,79,140) ",#A14F8C,    
  249 U            ,"rgb(136,87,121) ",#885779,    
  250 U            ,"rgb(238,186,233)",#EEBAE9,    
  251 U            ,"rgb(224,150,223)",#E096DF,    
  252 U            ,"rgb(206,112,204)",#CE70CC,    
  253 U            ,"rgb(180,86,174) ",#B456AE,    
  254 U            ,"rgb(158,84,154) ",#9E549A,    
  255 U            ,"rgb(131,87,125) ",#83577D,    
  256 U            ,"rgb(212,180,218)",#D4B4DA,    
  257 U            ,"rgb(194,155,203)",#C29BCB,    
  258 U            ,"rgb(162,118,174)",#A276AE,    
  259 U            ,"rgb(148,103,156)",#94679C,    
  260 U            ,"rgb(138,101,141)",#8A658D,    
  261 U            ,"rgb(127,98,130) ",#7F6282,    
  262 U            ,"rgb(117,94,116) ",#755E74,    
  263 U            ,"rgb(220,198,234)",#DCC6EA,    
  264 U            ,"rgb(191,161,227)",#BFA1E3,    
  265 U            ,"rgb(157,122,210)",#9D7AD2,    
  266 U            ,"rgb(138,101,196)",#8A65C4,    
  267 U            ,"rgb(127,93,174) ",#7F5DAE,    
  268 U            ,"rgb(115,89,144) ",#735990,    
  269 U            ,"rgb(110,88,127) ",#6E587F,    
  270 U            ,"rgb(173,174,222)",#ADAEDE,    
  271 U            ,"rgb(154,155,212)",#9A9BD4,    
  272 U            ,"rgb(133,134,198)",#8586C6,    
  273 U            ,"rgb(100,93,155) ",#645D9B,    
  274 U            ,"rgb(95,87,139)  ",#5F578B,    
  275 U            ,"rgb(93,86,131)  ",#5D5683,    
  276 U            ,"rgb(92,85,111)  ",#5C556F,    
  277 U            ,"rgb(173,207,241)",#ADCFF1,    
  278 U            ,"rgb(141,186,238)",#8DBAEE,    
  279 U            ,"rgb(91,142,219) ",#5B8EDB,    
  280 U            ,"rgb(60,73,129)  ",#3C4981,    
  281 U            ,"rgb(63,74,117)  ",#3F4A75,    
  282 U            ,"rgb(67,73,103)  ",#434967,    
  283 U            ,"rgb(155,199,238)",#9BC7EE,    
  284 U            ,"rgb(122,177,232)",#7AB1E8,    
  285 U            ,"rgb(73,130,207) ",#4982CF,    
  286 U            ,"rgb(50,85,164)  ",#3255A4,    
  287 U            ,"rgb(60,88,150)  ",#3C5896,    
  288 U            ,"rgb(61,85,136)  ",#3D5588,    
  289 U            ,"rgb(67,79,105)  ",#434F69,    
  290 U            ,"rgb(167,212,238)",#A7D4EE,    
  291 U            ,"rgb(127,190,235)",#7FBEEB,    
  292 U            ,"rgb(98,168,229) ",#62A8E5,    
  293 U            ,"rgb(35,91,168)  ",#235BA8,    
  294 U            ,"rgb(56,89,136)  ",#385988,    
  295 U            ,"rgb(55,81,114)  ",#375172,    
  296 U            ,"rgb(67,80,96)   ",#435060,    
  297 U            ,"rgb(126,204,238)",#7ECCEE,    
  298 U            ,"rgb(76,180,231) ",#4CB4E7,    
  299 U            ,"rgb(18,149,216) ",#1295D8,    
  300 U            ,"rgb(0,110,182)  ",#006EB6,    
  301 U            ,"rgb(40,98,142)  ",#28628E,    
  302 U            ,"rgb(55,94,119)  ",#375E77,    
  303 U            ,"rgb(63,86,102)  ",#3F5666,    
  304 U            ,"rgb(142,221,237)",#8EDDED,    
  305 U            ,"rgb(83,202,236) ",#53CAEC,    
  306 U            ,"rgb(0,180,228)  ",#00B4E4,    
  307 U            ,"rgb(0,116,162)  ",#0074A2,    
  308 U            ,"rgb(38,103,130) ",#266782,    
  309 U            ,"rgb(63,88,100)  ",#3F5864,    
  310 U            ,"rgb(91,208,230) ",#5BD0E6,    
  311 U            ,"rgb(1,190,219)  ",#01BEDB,    
  312 U            ,"rgb(0,175,208)  ",#00AFD0,    
  313 U            ,"rgb(0,141,177)  ",#008DB1,    
  314 U            ,"rgb(0,125,153)  ",#007D99,    
  315 U            ,"rgb(32,103,121) ",#206779,    
  316 U            ,"rgb(62,90,98)   ",#3E5A62,    
  317 U            ,"rgb(174,233,232)",#AEE9E8,    
  318 U            ,"rgb(107,217,222)",#6BD9DE,    
  319 U            ,"rgb(37,201,208) ",#25C9D0,    
  320 U            ,"rgb(0,157,165)  ",#009DA5,    
  321 U            ,"rgb(0,131,138)  ",#00838A,    
  322 U            ,"rgb(22,115,120) ",#167378,    
  323 U            ,"rgb(47,97,101)  ",#2F6165,    
  324 U            ,"rgb(130,216,213)",#82D8D5,    
  325 U            ,"rgb(64,193,187) ",#40C1BB,    
  326 U            ,"rgb(0,170,161)  ",#00AAA1,    
  327 U            ,"rgb(0,143,133)  ",#008F85,    
  328 U            ,"rgb(19,125,121) ",#137D79,    
  329 U            ,"rgb(46,117,114) ",#2E7572,    
  330 U            ,"rgb(68,100,99)  ",#446463,    
  331 U            ,"rgb(147,232,211)",#93E8D3,    
  332 U            ,"rgb(112,226,203)",#70E2CB,    
  333 U            ,"rgb(0,210,179)  ",#00D2B3,    
  334 U            ,"rgb(0,149,126)  ",#00957E,    
  335 U            ,"rgb(36,126,111) ",#247E6F,    
  336 U            ,"rgb(58,114,103) ",#3A7267,    
  337 U            ,"rgb(130,213,186)",#82D5BA,    
  338 U            ,"rgb(76,193,161) ",#4CC1A1,    
  339 U            ,"rgb(34,174,138) ",#22AE8A,    
  340 U            ,"rgb(0,158,119)  ",#009E77,    
  341 U            ,"rgb(52,121,99)  ",#347963,    
  342 U            ,"rgb(64,112,96)  ",#407060,    
  343 U            ,"rgb(72,101,91)  ",#48655B,    
  344 U            ,"rgb(142,216,172)",#8ED8AC,    
  345 U            ,"rgb(110,205,156)",#6ECD9C,    
  346 U            ,"rgb(78,189,136) ",#4EBD88,    
  347 U            ,"rgb(22,155,98)  ",#169B62,    
  348 U            ,"rgb(52,133,91)  ",#34855B,    
  349 U            ,"rgb(71,114,88)  ",#477258,    
  350 U            ,"rgb(84,103,88)  ",#546758,    
  351 U            ,"rgb(147,230,180)",#93E6B4,    
  352 U            ,"rgb(112,224,163)",#70E0A3,    
  353 U            ,"rgb(80,214,145) ",#50D691,    
  354 U            ,"rgb(0,169,92)   ",#00A95C,    
  355 U            ,"rgb(25,151,93)  ",#19975D,    
  356 U            ,"rgb(57,126,88)  ",#397E58,    
  357 U            ,"rgb(81,110,90)  ",#516E5A,    
  358 U            ,"rgb(151,216,138)",#97D88A,    
  359 U            ,"rgb(125,204,119)",#7DCC77,    
  360 U            ,"rgb(93,184,96)  ",#5DB860,    
  361 U            ,"rgb(77,170,80)  ",#4DAA50,    
  362 U            ,"rgb(86,148,79)  ",#56944F,    
  363 U            ,"rgb(87,133,78)  ",#57854E,    
  364 U            ,"rgb(91,121,78)  ",#5B794E,    
  365 U            ,"rgb(194,230,146)",#C2E692,    
  366 U            ,"rgb(168,220,125)",#A8DC7D,    
  367 U            ,"rgb(143,209,106)",#8FD16A,    
  368 U            ,"rgb(103,179,70) ",#67B346,    
  369 U            ,"rgb(98,160,68)  ",#62A044,    
  370 U            ,"rgb(105,138,72) ",#698A48,    
  371 U            ,"rgb(104,114,77) ",#68724D,    
  372 U            ,"rgb(209,240,143)",#D1F08F,    
  373 U            ,"rgb(185,233,114)",#B9E972,    
  374 U            ,"rgb(166,227,95) ",#A6E35F,    
  375 U            ,"rgb(115,201,45) ",#73C92D,    
  376 U            ,"rgb(112,171,55) ",#70AB37,    
  377 U            ,"rgb(114,143,65) ",#728F41,    
  378 U            ,"rgb(116,123,77) ",#747B4D,    
  379 U            ,"rgb(231,238,123)",#E7EE7B,    
  380 U            ,"rgb(212,228,88) ",#D4E458,    
  381 U            ,"rgb(186,215,57) ",#BAD739,    
  382 U            ,"rgb(153,194,33) ",#99C221,    
  383 U            ,"rgb(142,154,54) ",#8E9A36,    
  384 U            ,"rgb(134,139,60) ",#868B3C,    
  385 U            ,"rgb(126,123,75) ",#7E7B4B,    
  386 U            ,"rgb(239,241,120)",#EFF178,    
  387 U            ,"rgb(227,237,85) ",#E3ED55,    
  388 U            ,"rgb(213,231,57) ",#D5E739,    
  389 U            ,"rgb(189,220,4)  ",#BDDC04,    
  390 U            ,"rgb(151,169,38) ",#97A926,    
  391 U            ,"rgb(136,138,59) ",#888A3B,    
  392 U            ,"rgb(126,125,65) ",#7E7D41,    
  393 U            ,"rgb(248,242,131)",#F8F283,    
  394 U            ,"rgb(242,238,86) ",#F2EE56,    
  395 U            ,"rgb(237,236,63) ",#EDEC3F,    
  396 U            ,"rgb(219,226,0)  ",#DBE200,    
  397 U            ,"rgb(168,170,49) ",#A8AA31,    
  398 U            ,"rgb(149,149,57) ",#959539,    
  399 U            ,"rgb(138,133,55) ",#8A8537,    
  400 U            ,"rgb(199,193,186)",#C7C1BA,    
  401 U            ,"rgb(180,174,167)",#B4AEA7,    
  402 U            ,"rgb(163,158,152)",#A39E98,    
  403 U            ,"rgb(146,141,136)",#928D88,    
  404 U            ,"rgb(139,134,129)",#8B8681,    
  405 U            ,"rgb(119,114,109)",#77726D,    
  406 U            ,"rgb(199,190,186)",#C7BEBA,    
  407 U            ,"rgb(171,162,160)",#ABA2A0,    
  408 U            ,"rgb(157,149,148)",#9D9594,    
  409 U            ,"rgb(148,139,138)",#948B8A,    
  410 U            ,"rgb(138,130,128)",#8A8280,    
  411 U            ,"rgb(122,114,111)",#7A726F,    
  412 U            ,"rgb(100,92,89)  ",#645C59,    
  413 U            ,"rgb(188,189,180)",#BCBDB4,    
  414 U            ,"rgb(171,172,165)",#ABACA5,    
  415 U            ,"rgb(157,159,153)",#9D9F99,    
  416 U            ,"rgb(145,146,140)",#91928C,    
  417 U            ,"rgb(130,132,127)",#82847F,    
  418 U            ,"rgb(122,123,117)",#7A7B75,    
  419 U            ,"rgb(89,89,85)   ",#595955,    
  420 U            ,"rgb(189,190,189)",#BDBEBD,    
  421 U            ,"rgb(179,181,181)",#B3B5B5,    
  422 U            ,"rgb(158,161,162)",#9EA1A2,    
  423 U            ,"rgb(144,148,150)",#909496,    
  424 U            ,"rgb(136,137,138)",#88898A,    
  425 U            ,"rgb(124,126,127)",#7C7E7F,    
  426 U            ,"rgb(104,104,105)",#686869,    
  427 U            ,"rgb(194,199,202)",#C2C7CA,    
  428 U            ,"rgb(172,179,184)",#ACB3B8,    
  429 U            ,"rgb(145,153,159)",#91999F,    
  430 U            ,"rgb(128,137,145)",#808991,    
  431 U            ,"rgb(115,123,130)",#737B82,    
  432 U            ,"rgb(103,108,115)",#676C73,    
  433 U            ,"rgb(91,93,98)   ",#5B5D62,    
  434 U            ,"rgb(214,202,203)",#D6CACB,    
  435 U            ,"rgb(183,169,173)",#B7A9AD,    
  436 U            ,"rgb(169,155,159)",#A99B9F,    
  437 U            ,"rgb(141,127,131)",#8D7F83,    
  438 U            ,"rgb(129,114,117)",#817275,    
  439 U            ,"rgb(115,104,105)",#736869,    
  440 U            ,"rgb(105,97,95)  ",#69615F,    
  441 U            ,"rgb(185,194,193)",#B9C2C1,    
  442 U            ,"rgb(172,182,182)",#ACB6B6,    
  443 U            ,"rgb(143,154,155)",#8F9A9B,    
  444 U            ,"rgb(126,134,137)",#7E8689,    
  445 U            ,"rgb(107,113,115)",#6B7173,    
  446 U            ,"rgb(99,105,104) ",#636968,    
  447 U            ,"rgb(95,98,95)   ",#5F625F,    
  448 U            ,"rgb(102,97,78)  ",#66614E,    
  449 U            ,"rgb(113,107,84) ",#716B54,    
  450 U            ,"rgb(126,120,90) ",#7E785A,    
  451 U            ,"rgb(146,145,114)",#929172,    
  452 U            ,"rgb(168,166,135)",#A8A687,    
  453 U            ,"rgb(188,185,153)",#BCB999,    
  454 U            ,"rgb(202,200,172)",#CAC8AC,    
  455 U            ,"rgb(119,111,72) ",#776F48,    
  456 U            ,"rgb(144,129,69) ",#908145,    
  457 U            ,"rgb(173,152,68) ",#AD9844,    
  458 U            ,"rgb(206,185,100)",#CEB964,    
  459 U            ,"rgb(221,203,119)",#DDCB77,    
  460 U            ,"rgb(232,217,139)",#E8D98B,    
  461 U            ,"rgb(238,226,159)",#EEE29F,    
  462 U            ,"rgb(112,98,77)  ",#70624D,    
  463 U            ,"rgb(133,111,81) ",#856F51,    
  464 U            ,"rgb(155,124,86) ",#9B7C56,    
  465 U            ,"rgb(176,148,111)",#B0946F,    
  466 U            ,"rgb(193,166,127)",#C1A67F,    
  467 U            ,"rgb(210,186,146)",#D2BA92,    
  468 U            ,"rgb(224,206,170)",#E0CEAA,    
  469 U            ,"rgb(123,96,75)  ",#7B604B,    
  470 U            ,"rgb(163,112,82) ",#A37052,    
  471 U            ,"rgb(190,123,84) ",#BE7B54,    
  472 U            ,"rgb(219,146,113)",#DB9271,    
  473 U            ,"rgb(238,171,136)",#EEAB88,    
  474 U            ,"rgb(246,189,157)",#F6BD9D,    
  475 U            ,"rgb(250,204,173)",#FACCAD,    
  476 U            ,"rgb(110,94,82)  ",#6E5E52,    
  477 U            ,"rgb(125,101,86) ",#7D6556,    
  478 U            ,"rgb(142,110,92) ",#8E6E5C,    
  479 U            ,"rgb(172,140,126)",#AC8C7E,    
  480 U            ,"rgb(195,164,146)",#C3A492,    
  481 U            ,"rgb(211,183,167)",#D3B7A7,    
  482 U            ,"rgb(223,200,183)",#DFC8B7,    
  483 U            ,"rgb(125,91,79)  ",#7D5B4F,    
  484 U            ,"rgb(160,91,78)  ",#A05B4E,    
  485 U            ,"rgb(228,93,80)  ",#E45D50,    
  486 U            ,"rgb(240,141,128)",#F08D80,    
  487 U            ,"rgb(243,162,147)",#F3A293,    
  488 U            ,"rgb(244,185,169)",#F4B9A9,    
  489 U            ,"rgb(245,199,184)",#F5C7B8,    
  490 U            ,"rgb(119,85,84)  ",#775554,    
  491 U            ,"rgb(142,89,90)  ",#8E595A,    
  492 U            ,"rgb(157,93,96)  ",#9D5D60,    
  493 U            ,"rgb(199,124,137)",#C77C89,    
  494 U            ,"rgb(229,154,168)",#E59AA8,    
  495 U            ,"rgb(241,175,188)",#F1AFBC,    
  496 U            ,"rgb(249,194,204)",#F9C2CC,    
  497 U            ,"rgb(113,89,86)  ",#715956,    
  498 U            ,"rgb(128,93,91)  ",#805D5B,    
  499 U            ,"rgb(141,97,95)  ",#8D615F,    
  500 U            ,"rgb(189,137,143)",#BD898F,    
  501 U            ,"rgb(216,165,172)",#D8A5AC,    
  502 U            ,"rgb(230,183,189)",#E6B7BD,    
  503 U            ,"rgb(242,205,207)",#F2CDCF,    
  504 U            ,"rgb(127,93,98)  ",#7F5D62,    
  505 U            ,"rgb(138,92,102) ",#8A5C66,    
  506 U            ,"rgb(154,99,114) ",#9A6372,    
  507 U            ,"rgb(207,143,164)",#CF8FA4,    
  508 U            ,"rgb(223,156,174)",#DF9CAE,    
  509 U            ,"rgb(234,174,190)",#EAAEBE,    
  510 U            ,"rgb(242,191,203)",#F2BFCB,    
  511 U            ,"rgb(116,85,104) ",#745568,    
  512 U            ,"rgb(138,88,127) ",#8A587F,    
  513 U            ,"rgb(158,95,152) ",#9E5F98,    
  514 U            ,"rgb(206,137,195)",#CE89C3,    
  515 U            ,"rgb(226,165,212)",#E2A5D4,    
  516 U            ,"rgb(232,182,220)",#E8B6DC,    
  517 U            ,"rgb(242,200,227)",#F2C8E3,    
  518 U            ,"rgb(108,89,105) ",#6C5969,    
  519 U            ,"rgb(119,93,122) ",#775D7A,    
  520 U            ,"rgb(129,95,135) ",#815F87,    
  521 U            ,"rgb(169,139,181)",#A98BB5,    
  522 U            ,"rgb(188,159,198)",#BC9FC6,    
  523 U            ,"rgb(208,183,213)",#D0B7D5,    
  524 U            ,"rgb(218,197,220)",#DAC5DC,    
  525 U            ,"rgb(115,87,117) ",#735775,    
  526 U            ,"rgb(128,87,145) ",#805791,    
