  code   ,rgb             ,hex    ,name
  8361 C ,"rgb(152,152,105)",#989869,    
  8362 C ,"rgb(157,154,88) ",#9D9A58,    
  8363 C ,"rgb(164,156,65) ",#A49C41,    
  8364 C ,"rgb(161,147,65) ",#A19341,    
  8365 C ,"rgb(162,142,53) ",#A28E35,    
  8380 C ,"rgb(148,147,135)",#949387,    
  8381 C ,"rgb(151,146,121)",#979279,    
  8382 C ,"rgb(156,143,105)",#9C8F69,    
  8383 C ,"rgb(162,141,91) ",#A28D5B,    
  8384 C ,"rgb(166,131,64) ",#A68340,    
  8385 C ,"rgb(166,125,52) ",#A67D34,    
  8400 C ,"rgb(134,135,135)",#868787,    
  8401 C ,"rgb(127,127,126)",#7F7F7E,    
  8402 C ,"rgb(111,110,109)",#6F6E6D,    
  8403 C ,"rgb(96,94,92)   ",#605E5C,    
  8404 C ,"rgb(83,78,72)   ",#534E48,    
  8405 C ,"rgb(76,68,61)   ",#4C443D,    
  8420 C ,"rgb(144,141,141)",#908D8D,    
  8421 C ,"rgb(130,128,128)",#828080,    
  8422 C ,"rgb(117,113,113)",#757171,    
  8423 C ,"rgb(103,96,95)  ",#67605F,    
  8424 C ,"rgb(98,83,79)   ",#62534F,    
  8425 C ,"rgb(93,76,70)   ",#5D4C46,    
  8440 C ,"rgb(152,132,133)",#988485,    
  8441 C ,"rgb(160,123,123)",#A07B7B,    
  8442 C ,"rgb(164,110,110)",#A46E6E,    
  8443 C ,"rgb(170,97,95)  ",#AA615F,    
  8444 C ,"rgb(174,83,76)  ",#AE534C,    
  8445 C ,"rgb(170,75,64)  ",#AA4B40,    
  8460 C ,"rgb(143,139,145)",#8F8B91,    
  8461 C ,"rgb(135,124,134)",#877C86,    
  8462 C ,"rgb(129,114,125)",#81727D,    
  8463 C ,"rgb(121,98,113) ",#796271,    
  8464 C ,"rgb(115,77,91)  ",#734D5B,    
  8465 C ,"rgb(112,72,83)  ",#704853,    
  8480 C ,"rgb(65,101,119) ",#416577,    
  8481 C ,"rgb(80,96,119)  ",#506077,    
  8482 C ,"rgb(48,85,111)  ",#30556F,    
  8483 C ,"rgb(21,68,104)  ",#154468,    
  8484 C ,"rgb(30,83,125)  ",#1E537D,    
  8485 C ,"rgb(41,93,138)  ",#295D8A,    
  8500 C ,"rgb(115,129,126)",#73817E,    
  8501 C ,"rgb(87,120,105) ",#577869,    
  8502 C ,"rgb(68,97,103)  ",#446167,    
  8503 C ,"rgb(43,61,67)   ",#2B3D43,    
  8504 C ,"rgb(46,78,93)   ",#2E4E5D,    
  8505 C ,"rgb(54,86,101)  ",#365665,    
  8520 C ,"rgb(120,118,91) ",#78765B,    
  8521 C ,"rgb(80,84,67)   ",#505443,    
  8522 C ,"rgb(62,73,62)   ",#3E493E,    
  8523 C ,"rgb(46,60,53)   ",#2E3C35,    
