  code  ,rgb             ,hex    ,name
  9481 C,"rgb(197,233,234)",#C5E9EA,    
  9482 C,"rgb(193,227,228)",#C1E3E4,    
  9483 C,"rgb(198,220,218)",#C6DCDA,    
  9500 C,"rgb(190,233,231)",#BEE9E7,    
  9501 C,"rgb(185,224,221)",#B9E0DD,    
  9502 C,"rgb(205,227,224)",#CDE3E0,    
  9503 C,"rgb(203,222,218)",#CBDEDA,    
  9504 C,"rgb(198,218,215)",#C6DAD7,    
  9520 C,"rgb(215,239,231)",#D7EFE7,    
  9521 C,"rgb(213,233,225)",#D5E9E1,    
  9522 C,"rgb(214,230,223)",#D6E6DF,    
  9523 C,"rgb(214,227,220)",#D6E3DC,    
  9524 C,"rgb(175,234,220)",#AFEADC,    
  9525 C,"rgb(229,239,226)",#E5EFE2,    
  9540 C,"rgb(225,240,229)",#E1F0E5,    
  9541 C,"rgb(223,236,226)",#DFECE2,    
  9542 C,"rgb(205,218,205)",#CDDACD,    
  9543 C,"rgb(199,215,201)",#C7D7C9,    
  9544 C,"rgb(229,239,218)",#E5EFDA,    
  9560 C,"rgb(223,239,219)",#DFEFDB,    
  9561 C,"rgb(215,232,210)",#D7E8D2,    
  9562 C,"rgb(214,226,207)",#D6E2CF,    
  9563 C,"rgb(213,221,206)",#D5DDCE,    
  9580 C,"rgb(225,239,206)",#E1EFCE,    
  9581 C,"rgb(222,231,205)",#DEE7CD,    
  9582 C,"rgb(215,219,200)",#D7DBC8,    
  9583 C,"rgb(205,210,186)",#CDD2BA,    
  9584 C,"rgb(220,225,203)",#DCE1CB,    
  9585 C,"rgb(215,219,198)",#D7DBC6,    
  9600 C,"rgb(231,237,200)",#E7EDC8,    
  9601 C,"rgb(229,232,205)",#E5E8CD,    
  9602 C,"rgb(217,219,189)",#D9DBBD,    
  9603 C,"rgb(217,217,195)",#D9D9C3,    
