  code            ,rgb             ,hex    ,name
  208 CP          ,"rgb(140,35,69)  ",#8C2345,    
  209 CP          ,"rgb(119,37,60)  ",#77253C,    
  210 CP          ,"rgb(233,171,194)",#E9ABC2,    
  211 CP          ,"rgb(229,139,173)",#E58BAD,    
  212 CP          ,"rgb(223,103,151)",#DF6797,    
  213 CP          ,"rgb(219,62,121) ",#DB3E79,    
  214 CP          ,"rgb(207,35,102) ",#CF2366,    
  215 CP          ,"rgb(170,33,87)  ",#AA2157,    
  216 CP          ,"rgb(128,36,71)  ",#802447,    
  217 CP          ,"rgb(232,186,210)",#E8BAD2,    
  218 CP          ,"rgb(221,129,175)",#DD81AF,    
  219 CP          ,"rgb(215,55,134) ",#D73786,    
  220 CP          ,"rgb(174,35,89)  ",#AE2359,    
  221 CP          ,"rgb(156,36,82)  ",#9C2452,    
  222 CP          ,"rgb(115,36,68)  ",#732444,    
  223 CP          ,"rgb(227,158,193)",#E39EC1,    
  224 CP          ,"rgb(217,119,169)",#D977A9,    
  225 CP          ,"rgb(211,70,143) ",#D3468F,    
  226 CP          ,"rgb(215,12,122) ",#D70C7A,    
  227 CP          ,"rgb(175,28,99)  ",#AF1C63,    
  228 CP          ,"rgb(143,32,84)  ",#8F2054,    
  229 CP          ,"rgb(109,34,68)  ",#6D2244,    
  230 CP          ,"rgb(230,174,203)",#E6AECB,    
  231 CP          ,"rgb(220,138,182)",#DC8AB6,    
  232 CP          ,"rgb(213,118,170)",#D576AA,    
  233 CP          ,"rgb(195,22,124) ",#C3167C,    
  234 CP          ,"rgb(164,26,103) ",#A41A67,    
  235 CP          ,"rgb(139,30,86)  ",#8B1E56,    
  236 CP          ,"rgb(228,182,210)",#E4B6D2,    
  237 CP          ,"rgb(218,147,189)",#DA93BD,    
  238 CP          ,"rgb(204,108,166)",#CC6CA6,    
  239 CP          ,"rgb(197,90,157) ",#C55A9D,    
  240 CP          ,"rgb(191,73,148) ",#BF4994,    
  241 CP          ,"rgb(172,43,129) ",#AC2B81,    
  242 CP          ,"rgb(129,37,92)  ",#81255C,    
  243 CP          ,"rgb(227,187,212)",#E3BBD4,    
  244 CP          ,"rgb(215,162,198)",#D7A2C6,    
  245 CP          ,"rgb(201,135,181)",#C987B5,    
  246 CP          ,"rgb(176,69,144) ",#B04590,    
  247 CP          ,"rgb(171,51,136) ",#AB3388,    
  248 CP          ,"rgb(161,45,134) ",#A12D86,    
  249 CP          ,"rgb(133,50,107) ",#85326B,    
  250 CP          ,"rgb(224,194,217)",#E0C2D9,    
  251 CP          ,"rgb(204,165,201)",#CCA5C9,    
  252 CP          ,"rgb(184,118,172)",#B876AC,    
  253 CP          ,"rgb(158,58,138) ",#9E3A8A,    
  254 CP          ,"rgb(148,45,131) ",#942D83,    
  255 CP          ,"rgb(118,45,106) ",#762D6A,    
  256 CP          ,"rgb(220,200,221)",#DCC8DD,    
  257 CP          ,"rgb(201,172,205)",#C9ACCD,    
  258 CP          ,"rgb(146,87,155) ",#92579B,    
  259 CP          ,"rgb(122,50,126) ",#7A327E,    
  260 CP          ,"rgb(107,47,107) ",#6B2F6B,    
  261 CP          ,"rgb(98,41,92)   ",#62295C,    
  262 CP          ,"rgb(92,45,84)   ",#5C2D54,    
  263 CP          ,"rgb(219,206,227)",#DBCEE3,    
  264 CP          ,"rgb(187,165,204)",#BBA5CC,    
  265 CP          ,"rgb(141,108,171)",#8D6CAB,    
  266 CP          ,"rgb(106,69,147) ",#6A4593,    
  267 CP          ,"rgb(97,57,139)  ",#61398B,    
  268 CP          ,"rgb(89,49,124)  ",#59317C,    
  269 CP          ,"rgb(82,45,106)  ",#522D6A,    
  270 CP          ,"rgb(181,183,215)",#B5B7D7,    
  271 CP          ,"rgb(144,147,196)",#9093C4,    
  272 CP          ,"rgb(122,121,179)",#7A79B3,    
  273 CP          ,"rgb(52,49,117)  ",#343175,    
  274 CP          ,"rgb(48,45,99)   ",#302D63,    
  275 CP          ,"rgb(44,40,85)   ",#2C2855,    
  276 CP          ,"rgb(40,34,60)   ",#28223C,    
  277 CP          ,"rgb(169,199,229)",#A9C7E5,    
  278 CP          ,"rgb(145,183,222)",#91B7DE,    
  279 CP          ,"rgb(92,141,198) ",#5C8DC6,    
  280 CP          ,"rgb(34,58,118)  ",#223A76,    
  281 CP          ,"rgb(35,53,107)  ",#23356B,    
  282 CP          ,"rgb(37,40,73)   ",#252849,    
  283 CP          ,"rgb(152,195,229)",#98C3E5,    
  284 CP          ,"rgb(117,172,218)",#75ACDA,    
  285 CP          ,"rgb(43,116,183) ",#2B74B7,    
  286 CP          ,"rgb(36,80,154)  ",#24509A,    
  287 CP          ,"rgb(26,71,132)  ",#1A4784,    
  288 CP          ,"rgb(34,61,114)  ",#223D72,    
  289 CP          ,"rgb(33,48,78)   ",#21304E,    
  290 CP          ,"rgb(192,225,237)",#C0E1ED,    
  291 CP          ,"rgb(161,205,235)",#A1CDEB,    
  292 CP          ,"rgb(110,177,222)",#6EB1DE,    
  293 CP          ,"rgb(27,81,150)  ",#1B5196,    
  294 CP          ,"rgb(27,70,119)  ",#1B4677,    
  295 CP          ,"rgb(31,58,96)   ",#1F3A60,    
  296 CP          ,"rgb(36,41,53)   ",#242935,    
  297 CP          ,"rgb(124,203,234)",#7CCBEA,    
  298 CP          ,"rgb(81,186,232) ",#51BAE8,    
  299 CP          ,"rgb(0,160,220)  ",#00A0DC,    
  300 CP          ,"rgb(0,108,180)  ",#006CB4,    
  301 CP          ,"rgb(0,91,149)   ",#005B95,    
  302 CP          ,"rgb(0,73,106)   ",#00496A,    
  303 CP          ,"rgb(14,55,71)   ",#0E3747,    
  304 CP          ,"rgb(166,214,222)",#A6D6DE,    
  305 CP          ,"rgb(115,198,220)",#73C6DC,    
  306 CP          ,"rgb(0,179,219)  ",#00B3DB,    
  307 CP          ,"rgb(0,118,174)  ",#0076AE,    
  308 CP          ,"rgb(0,98,135)   ",#006287,    
  309 CP          ,"rgb(0,66,82)    ",#004252,    
  310 CP          ,"rgb(137,204,218)",#89CCDA,    
  311 CP          ,"rgb(79,187,209) ",#4FBBD1,    
  312 CP          ,"rgb(0,168,208)  ",#00A8D0,    
  313 CP          ,"rgb(0,152,199)  ",#0098C7,    
  314 CP          ,"rgb(0,132,172)  ",#0084AC,    
  315 CP          ,"rgb(0,106,133)  ",#006A85,    
  316 CP          ,"rgb(0,77,88)    ",#004D58,    
  317 CP          ,"rgb(196,225,222)",#C4E1DE,    
  318 CP          ,"rgb(161,211,211)",#A1D3D3,    
  319 CP          ,"rgb(111,193,194)",#6FC1C2,    
  320 CP          ,"rgb(0,161,170)  ",#00A1AA,    
  321 CP          ,"rgb(0,146,150)  ",#009296,    
  322 CP          ,"rgb(0,122,123)  ",#007A7B,    
  323 CP          ,"rgb(0,97,96)    ",#006160,    
  324 CP          ,"rgb(177,216,213)",#B1D8D5,    
  325 CP          ,"rgb(136,201,196)",#88C9C4,    
  326 CP          ,"rgb(47,178,171) ",#2FB2AB,    
  327 CP          ,"rgb(0,144,125)  ",#00907D,    
  328 CP          ,"rgb(0,117,104)  ",#007568,    
  329 CP          ,"rgb(0,106,95)   ",#006A5F,    
  330 CP          ,"rgb(38,92,80)   ",#265C50,    
  331 CP          ,"rgb(189,221,210)",#BDDDD2,    
  332 CP          ,"rgb(177,216,204)",#B1D8CC,    
  333 CP          ,"rgb(138,201,185)",#8AC9B9,    
  334 CP          ,"rgb(0,154,110)  ",#009A6E,    
  335 CP          ,"rgb(0,128,94)   ",#00805E,    
  336 CP          ,"rgb(0,105,78)   ",#00694E,    
  337 CP          ,"rgb(168,211,198)",#A8D3C6,    
  338 CP          ,"rgb(143,201,184)",#8FC9B8,    
  339 CP          ,"rgb(29,172,138) ",#1DAC8A,    
  340 CP          ,"rgb(0,158,105)  ",#009E69,    
  341 CP          ,"rgb(0,132,91)   ",#00845B,    
  342 CP          ,"rgb(0,112,85)   ",#007055,    
  343 CP          ,"rgb(40,94,72)   ",#285E48,    
  344 CP          ,"rgb(180,216,186)",#B4D8BA,    
  345 CP          ,"rgb(160,207,168)",#A0CFA8,    
  346 CP          ,"rgb(135,197,151)",#87C597,    
  347 CP          ,"rgb(0,163,81)   ",#00A351,    
  348 CP          ,"rgb(0,143,76)   ",#008F4C,    
  349 CP          ,"rgb(30,112,64)  ",#1E7040,    
  350 CP          ,"rgb(50,85,59)   ",#32553B,    
  351 CP          ,"rgb(190,219,191)",#BEDBBF,    
  352 CP          ,"rgb(172,211,177)",#ACD3B1,    
  353 CP          ,"rgb(163,207,171)",#A3CFAB,    
  354 CP          ,"rgb(61,170,75)  ",#3DAA4B,    
  355 CP          ,"rgb(0,161,68)   ",#00A144,    
  356 CP          ,"rgb(0,129,57)   ",#008139,    
  357 CP          ,"rgb(28,86,48)   ",#1C5630,    
  358 CP          ,"rgb(180,212,162)",#B4D4A2,    
  359 CP          ,"rgb(170,208,149)",#AAD095,    
  360 CP          ,"rgb(124,187,90) ",#7CBB5A,    
  361 CP          ,"rgb(86,175,64)  ",#56AF40,    
  362 CP          ,"rgb(78,169,63)  ",#4EA93F,    
  363 CP          ,"rgb(79,146,55)  ",#4F9237,    
  364 CP          ,"rgb(76,120,45)  ",#4C782D,    
  365 CP          ,"rgb(202,220,157)",#CADC9D,    
  366 CP          ,"rgb(189,214,141)",#BDD68D,    
  367 CP          ,"rgb(171,204,109)",#ABCC6D,    
  368 CP          ,"rgb(124,184,47) ",#7CB82F,    
  369 CP          ,"rgb(114,180,49) ",#72B431,    
  370 CP          ,"rgb(106,149,41) ",#6A9529,    
  371 CP          ,"rgb(88,101,32)  ",#586520,    
  372 CP          ,"rgb(217,226,157)",#D9E29D,    
  373 CP          ,"rgb(209,221,141)",#D1DD8D,    
  374 CP          ,"rgb(195,212,104)",#C3D468,    
  375 CP          ,"rgb(169,200,51) ",#A9C833,    
  376 CP          ,"rgb(152,193,29) ",#98C11D,    
  377 CP          ,"rgb(136,166,32) ",#88A620,    
  378 CP          ,"rgb(93,104,33)  ",#5D6821,    
  379 CP          ,"rgb(224,225,122)",#E0E17A,    
  380 CP          ,"rgb(215,219,84) ",#D7DB54,    
  381 CP          ,"rgb(203,212,33) ",#CBD421,    
  382 CP          ,"rgb(198,210,25) ",#C6D219,    
  383 CP          ,"rgb(167,176,25) ",#A7B019,    
  384 CP          ,"rgb(151,153,22) ",#979916,    
  385 CP          ,"rgb(126,119,33) ",#7E7721,    
  386 CP          ,"rgb(231,227,109)",#E7E36D,    
  387 CP          ,"rgb(225,222,80) ",#E1DE50,    
  388 CP          ,"rgb(219,220,79) ",#DBDC4F,    
  389 CP          ,"rgb(207,214,65) ",#CFD641,    
